Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,1.1782,4.2808,2.061,0.3421,0.6185,0.4068,3.39,"(4, 9, 10)"
Decision Tree Regressor,1.166,4.5106,2.1118,0.2626,0.6223,0.426,3.378,"(4, 9, 12)"
Decision Tree Regressor,0.9868,3.1721,1.7639,0.4436,0.5662,0.4087,3.404,"(4, 9, 13)"
Decision Tree Regressor,0.876,2.996,1.7043,0.4896,0.5179,0.2865,3.379,"(4, 9, 15)"
Decision Tree Regressor,0.891,2.789,1.648,0.5069,0.5275,0.3365,3.391,"(4, 9, 16)"
Decision Tree Regressor,0.9937,3.345,1.8212,0.4581,0.5621,0.3449,3.367,"(4, 9, 17)"
Decision Tree Regressor,1.1973,4.552,2.1242,0.345,0.6327,0.3954,3.401,"(4, 10, 12)"
Decision Tree Regressor,1.0868,3.981,1.9821,0.3646,0.6098,0.3831,3.354,"(4, 10, 13)"
Decision Tree Regressor,1.0928,3.8351,1.9392,0.4236,0.6002,0.3761,3.366,"(4, 10, 15)"
Decision Tree Regressor,1.011,3.5807,1.8708,0.4438,0.5464,0.3407,3.367,"(4, 10, 16)"
Decision Tree Regressor,0.9732,3.4392,1.8444,0.4884,0.57,0.3312,3.385,"(4, 10, 17)"
Decision Tree Regressor,1.0057,3.4621,1.8457,0.4496,0.5898,0.3683,3.386,"(4, 12, 13)"
Decision Tree Regressor,1.0889,3.8581,1.9494,0.4176,0.6035,0.4174,3.366,"(4, 12, 15)"
Decision Tree Regressor,1.2364,4.5624,2.132,0.2792,0.6232,0.4819,3.362,"(4, 12, 16)"
Decision Tree Regressor,0.923,3.2541,1.7907,0.5206,0.5307,0.3157,3.396,"(4, 12, 17)"
Decision Tree Regressor,1.0309,3.4973,1.8515,0.389,0.5796,0.3619,3.386,"(4, 13, 15)"
Decision Tree Regressor,0.8476,2.4912,1.5655,0.5638,0.5118,0.3649,3.429,"(4, 13, 16)"
Decision Tree Regressor,0.9074,3.0886,1.738,0.5019,0.5366,0.3323,3.388,"(4, 13, 17)"
Decision Tree Regressor,1.1768,3.8829,1.9633,0.3448,0.6013,0.434,3.366,"(4, 15, 16)"
Decision Tree Regressor,1.109,3.9381,1.9798,0.384,0.604,0.4139,3.392,"(4, 15, 17)"
