Model,MAE,MSE,RMSE,R2,RMSLE,MAPE,TT (Sec),Training Subjects
Decision Tree Regressor,1.1187,3.9707,1.9804,0.3936,0.6068,0.4374,3.26,"(2, 12, 17)"
Decision Tree Regressor,0.9067,3.1939,1.7609,0.4425,0.5379,0.34,3.246,"(2, 13, 15)"
Decision Tree Regressor,0.7853,2.1362,1.4473,0.6166,0.498,0.323,3.278,"(2, 13, 16)"
Decision Tree Regressor,0.7265,2.3019,1.5052,0.6162,0.4831,0.3136,3.279,"(2, 13, 17)"
Decision Tree Regressor,1.1028,3.9182,1.9611,0.2841,0.6111,0.4396,3.288,"(2, 15, 16)"
Decision Tree Regressor,1.1503,3.9311,1.9548,0.3771,0.6011,0.4413,3.315,"(2, 15, 17)"
Decision Tree Regressor,1.1056,3.8986,1.9572,0.3773,0.5915,0.4258,3.244,"(2, 16, 17)"
Decision Tree Regressor,1.0865,3.5512,1.8808,0.3839,0.5823,0.3771,3.226,"(3, 4, 5)"
Decision Tree Regressor,0.9829,3.1705,1.7761,0.3791,0.567,0.3466,3.254,"(3, 4, 6)"
Decision Tree Regressor,0.9284,3.0614,1.7249,0.4804,0.5487,0.3243,3.261,"(3, 4, 8)"
Decision Tree Regressor,1.0795,3.7885,1.9406,0.3108,0.5963,0.3771,3.227,"(3, 4, 9)"
Decision Tree Regressor,1.0502,3.753,1.9284,0.3658,0.5965,0.3868,3.239,"(3, 4, 10)"
Decision Tree Regressor,1.0386,3.721,1.901,0.3651,0.5902,0.3721,3.3,"(3, 4, 12)"
Decision Tree Regressor,0.9774,3.1649,1.7572,0.4057,0.5505,0.3935,3.235,"(3, 4, 13)"
Decision Tree Regressor,0.9872,3.5487,1.8804,0.3647,0.5885,0.3534,3.228,"(3, 4, 15)"
Decision Tree Regressor,1.0669,3.488,1.8493,0.3607,0.59,0.4096,3.277,"(3, 4, 16)"
Decision Tree Regressor,1.0021,3.2118,1.7797,0.4384,0.5741,0.3479,3.244,"(3, 4, 17)"
Decision Tree Regressor,1.0591,3.3309,1.8206,0.3169,0.5943,0.4038,3.26,"(3, 5, 6)"
Decision Tree Regressor,1.0993,3.7345,1.9296,0.3058,0.6104,0.3857,3.417,"(3, 5, 8)"
Decision Tree Regressor,1.1461,4.1079,2.0135,0.2223,0.6279,0.4042,3.239,"(3, 5, 9)"
Decision Tree Regressor,1.2119,4.0005,1.9921,0.3123,0.6208,0.4343,3.226,"(3, 5, 10)"
Decision Tree Regressor,1.1044,3.7799,1.9284,0.3147,0.6142,0.3982,3.239,"(3, 5, 12)"
Decision Tree Regressor,0.9567,3.0689,1.7314,0.4153,0.5491,0.3493,3.225,"(3, 5, 13)"
